avg_weeks_unemployed,cont_claims_insur_unemploy,full_employ_level,part_employ_level,not_in_labor_force,gov_unemp_insur,labor_particip_women,labor_particip_men,labor_particip_total,real_estate_loans,consumer_loans,commerc_indust_loans,m1_real,unemp_less_five_weeks,unemp_5_to_14_wks,unemp_15_to_26_wks,unemp_over_27_wks,personal_consum_exp,personal_save_rate,emp_pop_ratio,unemploy_rate,insured_unemploy_rate,corp_profit_aftertax_without,corp_profit_aftertax_with,corp_profit_beforetax_without,fed_debt_precent_gdp,m1_velocity
10.5,,63800.0,2287,.,,37.2,85.5,60.1,20.6387,18.3056,30.7252,,1469.0,906.0,317.0,206.0,,,57.5,4.4,.,30.211,28.581,50.939,,
12.0,,63972.0,2353,.,,37.0,85.4,60.0,20.7118,18.3737,31.0855,,1376.0,786.0,308.0,235.0,,,57.6,4.1,.,,,,,
11.8,,64079.0,2399,.,,37.1,85.2,60.0,20.84,18.4292,31.4451,,1356.0,726.0,335.0,242.0,,,57.6,3.9,.,,,,,
11.6,,63975.0,2417,.,,36.9,85.0,59.8,20.9734,18.5482,31.8895,,1319.0,742.0,283.0,247.0,,,57.5,3.9,.,31.879,28.358,53.735,,
10.9,,63796.0,2414,.,,36.9,85.2,59.8,21.0604,18.6686,32.2609,,1481.0,751.0,338.0,237.0,,,57.3,4.3,.,,,,,
11.4,,63910.0,2306,.,,36.9,85.0,59.8,21.1985,18.8678,32.473,,1446.0,790.0,308.0,259.0,,,57.3,4.2,.,,,,,
10.4,,63632.0,2283,.,,36.6,84.8,59.5,21.2111,18.8144,32.687,,1373.0,857.0,331.0,178.0,,,57.0,4.2,.,32.174,29.315,54.518,,
10.7,,64257.0,2426,.,,37.1,85.0,59.9,21.2389,18.8059,32.6895,,1293.0,793.0,305.0,225.0,,,57.5,3.9,.,,,,,
10.8,,64404.0,2435,.,,36.9,85.2,59.8,21.2624,18.9299,33.0407,,1241.0,785.0,296.0,218.0,,,57.6,3.7,.,,,,,
10.6,,64047.0,2283,.,,36.5,85.0,59.5,21.2736,19.0117,33.3856,,1335.0,738.0,283.0,233.0,,,57.2,3.9,.,30.883,28.933,52.239,,
10.4,,63985.0,2377,.,,36.6,84.9,59.5,21.2595,19.1767,33.6362,,1423.0,776.0,299.0,239.0,,,57.1,4.1,.,,,,,
10.2,,64196.0,2476,.,,36.8,85.2,59.8,21.2304,19.2889,34.0596,,1392.0,1008.0,266.0,260.0,,,57.2,4.3,.,,,,,
