,A072RC1Q156SBEA,BUSLOANS,CE16OV,CIVPART,CONSUMER,CP,DPCCRC1M027SBEA,ECOMPCTSA,GOAI,HDTGPDUSQ163N,IURSA,LES1252881600Q,LNS15000000,M1V,PCE,PSAVERT,RRVRUSQ156N,TDSP,UEMP27OV,UEMPMEAN,UNRATE,W825RC1
1971-01-01,13.4,111.8102333333333333,78717.333333333333,60.1666666666666667,65.9912000000000000,60.152,529.8666666666666667,,,,3.9615384615384617,,,5.226,679.1666666666666667,13.3666666666666667,5.3,,443.6666666666666667,10.5000000000000000,5.9333333333333333,5.7333333333333333
1971-04-01,13.8,113.1125333333333333,78961.000000000000,60.0333333333333333,67.9217333333333333,62.42,541.9666666666666667,,,,4.084615384615385,,,5.212000000000001,693.2333333333333333,13.8333333333333333,5.3,,501.0000000000000000,11.2333333333333333,5.9000000000000000,6.3000000000000000
1971-07-01,13.6,115.5773000000000000,79511.000000000000,60.1333333333333333,69.9823000000000000,66.544,554.0000000000000000,,,,4.1230769230769235,,,5.218999999999999,705.6000000000000000,13.5666666666666667,5.6,,560.0000000000000000,11.6333333333333333,6.0333333333333333,6.3333333333333333
1971-10-01,13.1,117.6248333333333333,80228.666666666667,60.3000000000000000,72.4106333333333333,68.735,568.0333333333333333,,,,4.1,,,5.226,721.7000000000000000,13.1333333333333333,5.6,,585.0000000000000000,12.0333333333333333,5.9333333333333333,6.3666666666666667
1972-01-01,12.4,118.9179000000000000,81213.333333333333,60.3000000000000000,75.0112666666666667,72.785,583.4666666666666667,,,,3.6384615384615384,,,5.2989999999999995,738.9666666666666667,12.3666666666666667,5.3,,625.3333333333333333,12.2666666666666667,5.7666666666666667,6.5666666666666667
1972-04-01,11.6,122.5637000000000000,81875.000000000000,60.4000000000000000,78.0405000000000000,73.825,597.0000000000000000,,,,3.5384615384615383,,,5.365,757.3666666666666667,11.6333333333333333,5.5,,601.0000000000000000,12.3666666666666667,5.7000000000000000,6.8666666666666667
1972-07-01,12.0,125.8824666666666667,82450.333333333333,60.4666666666666667,81.3227666666666667,77.00399999999999,612.0666666666666667,,,,3.5,,,5.356,775.7666666666666667,11.9666666666666667,5.8,,534.6666666666666667,11.9000000000000000,5.5666666666666667,5.7666666666666667
1972-10-01,13.4,131.2634000000000000,83002.000000000000,60.3666666666666667,84.4739666666666667,83.484,630.8333333333333333,,,,3.1769230769230767,,,5.382999999999999,800.5000000000000000,13.4333333333333333,5.6,,482.3333333333333333,11.5000000000000000,5.3666666666666667,5.0000000000000000
1973-01-01,12.6,140.3898000000000000,83841.666666666667,60.4333333333333333,88.1972000000000000,95.54700000000001,652.0666666666666667,,,,2.8153846153846156,,,5.471,825.0333333333333333,12.5333333333333333,5.7,,390.0000000000000000,10.7000000000000000,4.9333333333333333,4.5666666666666667
1973-04-01,13.3,150.1098000000000000,84797.333333333333,60.7666666666666667,92.1784000000000000,99.03299999999999,663.2666666666666667,,,,2.6692307692307686,,,5.55,840.5333333333333333,13.3333333333333333,5.8,,338.0000000000000000,9.9000000000000000,4.9333333333333333,4.4333333333333333
1973-07-01,13.4,157.3012666666666667,85330.333333333333,60.8000000000000000,95.2052333333333333,101.161,674.4000000000000000,,,,2.7,,,5.564,858.8666666666666667,13.4000000000000000,5.8,,303.6666666666666667,9.6000000000000000,4.8000000000000000,4.5000000000000000
1973-10-01,14.5,160.1053333333333333,86236.000000000000,61.1000000000000000,97.6384666666666667,106.25299999999999,684.1333333333333333,,,,2.784615384615385,,,5.657,873.9000000000000000,14.5333333333333333,5.8,,338.0000000000000000,9.8666666666666667,4.7666666666666667,4.7666666666666667
1974-01-01,14.0,165.5371333333333333,86709.333333333333,61.3333333333333333,99.6805333333333333,112.656,694.1333333333333333,,,,3.207692307692308,,,5.622000000000001,891.8666666666666667,13.9666666666666667,6.2,,332.0000000000000000,9.6000000000000000,5.1333333333333333,5.8666666666666667
1974-04-01,12.9,177.5766666666666667,86833.666666666667,61.1666666666666667,101.3550000000000000,115.54299999999999,713.4000000000000000,,,,3.223076923076923,,,5.7139999999999995,920.4000000000000000,12.9000000000000000,6.3,,359.0000000000000000,9.7000000000000000,5.2000000000000000,6.7000000000000000
1974-07-01,12.6,186.1211000000000000,87079.000000000000,61.3333333333333333,102.2664666666666667,121.06,733.3333333333333333,,,,3.3923076923076922,,,5.775,949.2666666666666667,12.6000000000000000,6.2,,388.6666666666666667,9.7666666666666667,5.6333333333333333,6.9333333333333333
1974-10-01,13.7,190.3036666666666667,86588.333333333333,61.2666666666666667,102.3117666666666667,107.90799999999999,737.7666666666666667,,,,4.361538461538462,,,5.851,959.0666666666666667,13.7333333333333333,6.0,,455.3333333333333333,9.8666666666666667,6.6000000000000000,8.6333333333333333
